triple_id,architecture,p_rare,Ag,R2,ms_diff,excess_kurtosis
12,rare (p=0.05),0.05,0.23630391931007247,0.2377056519073705,0.022220323266510748,0.03409088675558092
12,rare (p=0.02),0.02,0.23630391931007247,0.23991491105466314,0.01774205976413663,-0.01704313025733606
12,very rare (p=0.005),0.005,0.23630391931007247,0.24412244335664685,0.011581489967888846,-7.142477294208582e-05
13,common (p=0.5),0.5,0.714020478607457,0.7226788502552116,0.06054685954313996,-0.028280098435008227
13,rare (p=0.05),0.05,0.714020478607457,0.7112196259777964,0.06341097677748245,-0.025395426512886732
13,rare (p=0.02),0.02,0.714020478607457,0.7192310149866743,0.061654904917545404,-0.018928611235572212
13,very rare (p=0.005),0.005,0.714020478607457,0.7074436115879441,0.06312293361391857,-0.021490183095299042
14,common (p=0.5),0.5,0.6461245567002187,0.6583462615376366,0.02033333554847312,-0.06508422776951606
14,rare (p=0.05),0.05,0.6461245567002187,0.6525904388051667,0.01985349672174314,0.27570808021678606
14,rare (p=0.02),0.02,0.6461245567002187,0.69110335711733,0.01042561568845661,0.13240483480013132
14,very rare (p=0.005),0.005,0.6461245567002187,0.659394073965435,0.019169035683730674,0.12193741517531798
15,common (p=0.5),0.5,0.30270157090896566,0.28415327596946927,0.14584669444441464,-0.009927134645455693
15,rare (p=0.05),0.05,0.30270157090896566,0.2938276551609073,0.14414222344201869,0.03316688198033457
15,rare (p=0.02),0.02,0.30270157090896566,0.33402989069534583,0.12829900400217653,0.07182298365507744
15,very rare (p=0.005),0.005,0.30270157090896566,0.3018365283971129,0.1428147026757262,0.0016431841984805295
16,common (p=0.5),0.5,0.4898938205402707,0.5016273741575454,0.09719603172422259,-0.03692679005101562
16,rare (p=0.05),0.05,0.4898938205402707,0.5600337784373942,0.08148365523422045,0.20017210710879918
16,rare (p=0.02),0.02,0.4898938205402707,0.49539899127856785,0.09809203782135092,-0.019552435728171003
16,very rare (p=0.005),0.005,0.4898938205402707,0.4819283719891445,0.10443518314049494,0.009504284963443466
17,common (p=0.5),0.5,0.7660803058803927,0.7805659674591344,0.039611448194964816,-0.09360835036594028
17,rare (p=0.05),0.05,0.7660803058803927,0.6881024613584596,0.06453788400349908,0.08553823004926764
17,rare (p=0.02),0.02,0.7660803058803927,0.7727958812830222,0.03983362441931523,-0.019276430631567254
17,very rare (p=0.005),0.005,0.7660803058803927,0.707044308140323,0.029349921879596126,1.277016701906482
18,common (p=0.5),0.5,0.3707937016189375,0.3785801186374084,0.007187797389500998,-0.03738749740630953
18,rare (p=0.05),0.05,0.3707937016189375,0.36859741997854917,0.00958312055845169,0.03741974587237229
18,rare (p=0.02),0.02,0.3707937016189375,0.3700445911897152,0.011341920495970432,-0.002881694518372613
18,very rare (p=0.005),0.005,0.3707937016189375,0.33696567643155456,0.008741317593377138,0.02211947712660367
19,common (p=0.5),0.5,0.738208480070557,0.7456529802806435,0.022933080767343912,-0.08381634103953717
19,rare (p=0.05),0.05,0.738208480070557,0.6925215943452477,0.03635440150218963,0.03257749129237719
19,rare (p=0.02),0.02,0.738208480070557,0.7477698162226125,0.017267403267328056,0.02981439028503352
19,very rare (p=0.005),0.005,0.738208480070557,0.743874201074707,0.020627340298402377,-0.005021360564973598
20,common (p=0.5),0.5,0.169597020073488,0.17244025414816466,0.042184833565247444,-0.011011271917917842
20,rare (p=0.05),0.05,0.169597020073488,0.13030092664650963,0.06553495786900042,0.07188675664050437
20,rare (p=0.02),0.02,0.169597020073488,0.16489759027952294,0.045518297070377994,-0.008522323515180896
20,very rare (p=0.005),0.005,0.169597020073488,0.16558819170565486,0.04265639944788549,0.05235666453493959
21,common (p=0.5),0.5,0.4448893312059188,0.4511027939291477,0.0699537362727647,6.103862021178408e-05
21,rare (p=0.05),0.05,0.4448893312059188,0.4521600917601837,0.07127320032286293,0.021402773312215406
21,rare (p=0.02),0.02,0.4448893312059188,0.42903908703907795,0.0861746722794779,0.07227520459431824
21,very rare (p=0.005),0.005,0.4448893312059188,0.44627076064855165,0.07464824404815748,-0.043399302867699996
22,common (p=0.5),0.5,0.5400162288393786,0.5497621530289191,0.07507737120193134,0.015211747535347486
22,rare (p=0.05),0.05,0.5400162288393786,0.5510159866165748,0.07425205061606695,0.04788453893636768
22,rare (p=0.02),0.02,0.5400162288393786,0.41157515536724165,0.12413658257976692,0.23201160811360244
22,very rare (p=0.005),0.005,0.5400162288393786,0.5489895076979204,0.07460784761251574,-0.015662521401129337
23,common (p=0.5),0.5,0.6868838104567321,0.6960318403196213,0.0586099553927262,-0.07828887851820177
