generation,sigma2,sigma,b_mag,Vlin,Vquad,Ag
183,2.9546162911533242,1.7188997327224542,0.4005166260908188,0.47396054067055327,0.043648787139743135,0.9156723327912274
184,2.9547956405400013,1.718951901752926,0.39851904108451414,0.469273038302513,0.04365408638677099,0.9148922248687562
185,2.9549749826746536,1.7190040670907831,0.39653141907499284,0.4646318928034234,0.04365938574116535,0.9141055776794418
186,2.955154317558332,1.719056228736667,0.3945537103716011,0.46003664575764946,0.04366468520291826,0.9133123489674946
187,2.955333645192087,1.7191083866912193,0.39258586553151836,0.4554868432824648,0.04366998477202174,0.912512496438785
188,2.9555129655769674,1.7191605409550812,0.3906278353585211,0.45098203598323094,0.043675284448467806,0.9117059777658776
189,2.9556922787140216,1.7192126915288932,0.388679570901753,0.446521778909022,0.04368058423224844,0.9108927505931663
190,2.9558715846042993,1.7192648384132967,0.3867410234545012,0.4421056315086873,0.04368588412335567,0.9100727725421104
191,2.9560508832488495,1.7193169816089322,0.3848121445529785,0.4377331575873478,0.04369118412178152,0.909246001216575
192,2.95623017464872,1.7193691211164401,0.382892885975112,0.4334039252633232,0.04369648422751802,0.9084123942082744
193,2.9564094588049583,1.7194212569364606,0.38098319973933725,0.4291175069254848,0.04370178444055714,0.90757190910232
194,2.956588735718614,1.7194733890696343,0.37908303810339883,0.4248734791910299,0.043707084760890975,0.9067245034828726
195,2.9567680053907335,1.7195255175166007,0.37719235356315695,0.4206714228636742,0.0437123851885115,0.9058701349389011
196,2.9569472678223656,1.719577642278,0.3753110988513995,0.41651092289225666,0.04371768572341077,0.9050087610700468
197,2.957126523014556,1.7196297633544715,0.37343922693666093,0.41239156832975443,0.043722986365580786,0.9041403394925955
198,2.957305770968352,1.719681880746655,0.3715766910220457,0.40831295229270226,0.0437282871150136,0.9032648278455561
199,2.957485011684801,1.7197339944551893,0.369723444544059,0.4042746719210139,0.043733587971701245,0.9023821837968475
200,2.957664245164949,1.719786104480714,0.36787944117144233,0.4002763283382007,0.04373888893563575,0.9014923650495952
201,2.9578434714098414,1.7198382108238675,0.3660446348040153,0.3963175266119818,0.04374419000680912,0.9005953293485353
202,2.958022690420525,1.7198903134852888,0.3642189795715233,0.3923978757152876,0.04374949118521341,0.8996910344865292
203,2.958201902198045,1.7199424124656166,0.36240242983249027,0.38851698848764366,0.043754792470840666,0.8987794383111884
204,2.958381106743447,1.719994507765489,0.3605949401730783,0.3846744815969414,0.043760093863682924,0.8978604987316092
205,2.9585603040577775,1.720046599385545,0.3587964654059516,0.38086997550158275,0.04376539536373225,0.8969341737252179
206,2.9587394941420797,1.720098687326422,0.3570069605691474,0.37710309441300177,0.04377069697098066,0.8960004213447288
207,2.9589186769973983,1.7201507715887576,0.3552263809249515,0.3733734662585558,0.043775998685420175,0.8950591997252126
208,2.9590978526247778,1.72020285217319,0.35345468195878016,0.3696807226447831,0.04378130050704287,0.8941104670912761
209,2.9592770210252635,1.7202549290803568,0.35169181937806687,0.36602449882102484,0.0437866024358408,0.8931541817643545
210,2.959456182199898,1.720307002310895,0.3499377491111553,0.3624044336434055,0.043791904471806,0.8921903021701169
211,2.9596353361497254,1.720359071865442,0.3481924273061976,0.35882016953917073,0.043797206614930494,0.8912187868459827
212,2.9598144828757897,1.7204111377446352,0.3464558103300574,0.35527135247137615,0.0438025088652064,0.8902395944487504
213,2.959993622379133,1.7204631999491105,0.3447278547672202,0.3517576319039275,0.04380781122262571,0.889252683762342
214,2.9601727546607997,1.7205152584795056,0.34300851741870664,0.348278660766964,0.04381311368718054,0.8882580137056547
215,2.9603518797218307,1.720567313336456,0.3412977553009937,0.3448340954225861,0.04381841625886289,0.887255543340531
