triple_id,G_scale,architecture,Ag,R2,spearman,ms_diff,excess_kurtosis
23,0.2642619553930058,oligogenic,0.35469497880005446,0.362033506945723,0.6779807922269518,0.050439378750971264,-0.031032328488981298
23,0.2642619553930058,monogenic,0.35469497880005446,0.3564278369027919,0.6741535369088838,0.05477272490896138,-0.02049090663376374
24,0.2642619553930058,infinitesimal,0.06320512169834558,0.06858514521277455,0.382578025488945,0.10997794686306017,-0.03935716916267795
24,0.2642619553930058,oligogenic,0.06320512169834558,0.07076881266399009,0.3734125485560313,0.11472278607369643,-0.05933346398624084
24,0.2642619553930058,monogenic,0.06320512169834558,0.059850537796602474,0.36823029061457563,0.1188970578473135,-0.04750915346615914
25,0.2642619553930058,infinitesimal,0.3956024239154296,0.3856689330611566,0.6941310320548274,0.024340217723696305,-0.016054801882163683
25,0.2642619553930058,oligogenic,0.3956024239154296,0.3962629525876538,0.6993963025749906,0.023778707713341576,-0.03549322276577416
25,0.2642619553930058,monogenic,0.3956024239154296,0.4204691977147288,0.702153275509883,0.022158535222551737,-0.05853414414317237
26,0.2642619553930058,infinitesimal,0.33937464302600007,0.3352504235683332,0.646711631326279,0.07181770168088013,-0.007499996728499325
26,0.2642619553930058,oligogenic,0.33937464302600007,0.3590016856200762,0.6550191683005477,0.06669845911789841,-0.07986723962572384
26,0.2642619553930058,monogenic,0.33937464302600007,0.40190592282619253,0.6728556180726389,0.05537837026586296,-0.15189489340753726
27,0.2642619553930058,infinitesimal,0.41991713100918543,0.42090654410842787,0.6899931579809827,0.259561919715799,-0.005047683351469212
27,0.2642619553930058,oligogenic,0.41991713100918543,0.4450039260429671,0.7027746861349367,0.2526050296387222,-0.03159667606067473
27,0.2642619553930058,monogenic,0.41991713100918543,0.4221555436752763,0.6833085623547713,0.2642930993141205,-0.045252173690913056
28,0.2642619553930058,infinitesimal,0.21260529578082635,0.215129316803981,0.5851878707284697,0.07668292754462559,-0.009026078947256377
28,0.2642619553930058,oligogenic,0.21260529578082635,0.24221540917616702,0.5854902897522256,0.06962890180933214,-0.1223721748688722
28,0.2642619553930058,monogenic,0.21260529578082635,0.21778847430200868,0.5883187309417967,0.0814141884471208,-0.09344629376086755
29,0.2642619553930058,infinitesimal,0.6739816709941059,0.6814445259039543,0.873111293017778,0.07783673354903718,-0.005608304478189163
29,0.2642619553930058,oligogenic,0.6739816709941059,0.6666294651947018,0.8654071076615176,0.08366846484673503,-0.004765964418327995
29,0.2642619553930058,monogenic,0.6739816709941059,0.6809064684715336,0.8674001982160003,0.07735327849183282,-0.042877207463544065
30,0.42958782681456037,infinitesimal,0.1631683222962952,0.17167969938707114,0.48588341121570844,0.1439606204359616,-0.029856294860223676
30,0.42958782681456037,oligogenic,0.1631683222962952,0.1596166954093715,0.4724239464080598,0.15056819060138046,-0.04331623436685017
30,0.42958782681456037,monogenic,0.1631683222962952,0.16077374657787585,0.48158429196246066,0.15415638560145872,-0.022871038779472386
31,0.42958782681456037,infinitesimal,0.3556602973018712,0.35553926959158816,0.6891180888112951,0.05538374185238658,-0.029879399650860505
31,0.42958782681456037,oligogenic,0.3556602973018712,0.3598165620855811,0.6972194583420486,0.054239289013051334,-0.025950625092766244
31,0.42958782681456037,monogenic,0.3556602973018712,0.355114767381705,0.6916446966296117,0.056463348848747714,-0.08239049784697017
32,0.42958782681456037,infinitesimal,0.3348688287967335,0.328336520444368,0.6170303840525758,0.37050057993097735,-0.0012272741676246923
32,0.42958782681456037,oligogenic,0.3348688287967335,0.3352103063731371,0.6133493179473732,0.36372237189598466,-0.0004027426378493404
